ID,Name,Category,Price
88519,Product_88519,Home,375.01
73117,Product_73117,Toys,107.01
68277,Product_68277,Toys,131.46
20602,Product_20602,Books,248.52
45145,Product_45145,Books,221.43
36409,Product_36409,Sports,440.32
74639,Product_74639,Electronics,478.42
81905,Product_81905,Books,346.24
28763,Product_28763,Clothing,383.13
58377,Product_58377,Clothing,254.48
3783,Product_3783,Electronics,91.12
74413,Product_74413,Sports,78.11
29928,Product_29928,Sports,286.0
12864,Product_12864,Home,75.53
98361,Product_98361,Books,361.25
21658,Product_21658,Clothing,316.23
36124,Product_36124,Electronics,203.15
31464,Product_31464,Books,274.25
13155,Product_13155,Books,4.51
20074,Product_20074,Sports,163.71
95034,Product_95034,Toys,39.7
76601,Product_76601,Home,173.97
41764,Product_41764,Electronics,483.33
93637,Product_93637,Sports,39.79
56126,Product_56126,Books,63.74
86847,Product_86847,Sports,431.55
34987,Product_34987,Home,56.21
38981,Product_38981,Electronics,27.65
44548,Product_44548,Sports,4.99
85695,Product_85695,Electronics,418.26
71756,Product_71756,Toys,355.14
2035,Product_2035,Electronics,165.97
68303,Product_68303,Sports,420.93
29522,Product_29522,Clothing,232.77
66749,Product_66749,Electronics,41.58
3253,Product_3253,Electronics,6.97
78934,Product_78934,Electronics,367.47
29724,Product_29724,Electronics,156.21
94202,Product_94202,Toys,128.82
36384,Product_36384,Home,74.95
14513,Product_14513,Sports,425.37
16159,Product_16159,Toys,157.73
17601,Product_17601,Clothing,136.39
94945,Product_94945,Books,326.34
12386,Product_12386,Toys,203.21
7528,Product_7528,Electronics,43.79
42114,Product_42114,Clothing,224.65
25791,Product_25791,Clothing,149.68
418,Product_418,Clothing,454.3
16776,Product_16776,Home,142.36
77726,Product_77726,Home,239.81
65574,Product_65574,Sports,309.9
10365,Product_10365,Clothing,284.18
16932,Product_16932,Books,86.9
73324,Product_73324,Electronics,160.86
40748,Product_40748,Clothing,433.67
84528,Product_84528,Home,289.88
31135,Product_31135,Home,477.53
86859,Product_86859,Books,263.04
10840,Product_10840,Sports,321.45
54535,Product_54535,Sports,496.75
16306,Product_16306,Books,352.04
57636,Product_57636,Sports,220.24
66578,Product_66578,Home,375.01
90214,Product_90214,Books,265.24
35439,Product_35439,Sports,302.76
45718,Product_45718,Clothing,275.13
95456,Product_95456,Home,494.62
21769,Product_21769,Sports,379.3
20711,Product_20711,Clothing,212.34
49578,Product_49578,Clothing,247.55
58382,Product_58382,Home,309.96
17338,Product_17338,Sports,173.13
44442,Product_44442,Clothing,3.27
95997,Product_95997,Home,252.78
68468,Product_68468,Home,42.74
81775,Product_81775,Electronics,395.01
74786,Product_74786,Clothing,443.45
4883,Product_4883,Clothing,467.03
30401,Product_30401,Clothing,446.93
93653,Product_93653,Books,231.93
40148,Product_40148,Toys,295.11
52409,Product_52409,Books,326.97
84552,Product_84552,Electronics,222.62
77851,Product_77851,Clothing,143.27
18246,Product_18246,Sports,412.93
21599,Product_21599,Books,291.85
21428,Product_21428,Home,102.4
57307,Product_57307,Books,131.5
28598,Product_28598,Clothing,499.23
48260,Product_48260,Clothing,213.17
47244,Product_47244,Clothing,108.98
77279,Product_77279,Clothing,332.93
6926,Product_6926,Toys,138.75
55073,Product_55073,Sports,399.4
72177,Product_72177,Clothing,146.92
63483,Product_63483,Toys,149.72
14480,Product_14480,Electronics,130.12
50053,Product_50053,Clothing,128.17
29565,Product_29565,Home,467.88
54103,Product_54103,Electronics,222.38
74381,Product_74381,Home,375.85
70119,Product_70119,Toys,292.15
35264,Product_35264,Toys,374.29
62658,Product_62658,Electronics,85.07
92000,Product_92000,Clothing,439.97
3929,Product_3929,Clothing,21.52
65061,Product_65061,Toys,401.93
49139,Product_49139,Sports,320.97
64834,Product_64834,Clothing,255.99
90032,Product_90032,Electronics,171.78
31091,Product_31091,Sports,310.48
42581,Product_42581,Sports,264.16
22083,Product_22083,Toys,295.01
60618,Product_60618,Sports,264.7
6424,Product_6424,Clothing,84.88
4586,Product_4586,Sports,155.57
40911,Product_40911,Toys,140.85
95744,Product_95744,Electronics,473.63
24037,Product_24037,Home,154.98
48975,Product_48975,Books,109.45
74977,Product_74977,Clothing,363.98
88271,Product_88271,Home,432.95
63383,Product_63383,Electronics,43.35
57261,Product_57261,Toys,260.69
6635,Product_6635,Electronics,148.78
19448,Product_19448,Toys,37.45
27763,Product_27763,Toys,393.66
44215,Product_44215,Toys,118.26
4378,Product_4378,Sports,404.03
43967,Product_43967,Clothing,364.43
59440,Product_59440,Toys,154.15
13518,Product_13518,Home,359.58
44129,Product_44129,Toys,440.11
87039,Product_87039,Toys,187.58
53362,Product_53362,Toys,484.72
15407,Product_15407,Electronics,332.33
73144,Product_73144,Electronics,70.51
87445,Product_87445,Electronics,90.31
25021,Product_25021,Clothing,423.56
98028,Product_98028,Toys,412.46
99482,Product_99482,Home,364.84
15307,Product_15307,Sports,43.84
52086,Product_52086,Books,339.99
32627,Product_32627,Books,369.73
74428,Product_74428,Sports,255.95
48551,Product_48551,Sports,135.49
35924,Product_35924,Sports,1.23
87739,Product_87739,Clothing,458.45
36257,Product_36257,Toys,224.62
80042,Product_80042,Toys,26.9
53062,Product_53062,Books,52.01
85338,Product_85338,Home,92.24
92198,Product_92198,Books,473.84
9011,Product_9011,Books,8.45
93138,Product_93138,Electronics,362.49
20067,Product_20067,Books,352.96
29772,Product_29772,Toys,292.52
76493,Product_76493,Home,486.03
78176,Product_78176,Home,18.01
37428,Product_37428,Electronics,107.87
87223,Product_87223,Books,204.5
41347,Product_41347,Books,150.67
85967,Product_85967,Clothing,313.92
86345,Product_86345,Clothing,56.29
16571,Product_16571,Sports,3.14
26624,Product_26624,Home,497.76
53918,Product_53918,Books,464.01
81729,Product_81729,Sports,191.03
48024,Product_48024,Home,458.97
98380,Product_98380,Home,262.46
17388,Product_17388,Toys,371.6
40892,Product_40892,Books,251.39
12036,Product_12036,Sports,302.21
5737,Product_5737,Home,201.94
99114,Product_99114,Books,497.98
13707,Product_13707,Sports,88.47
87371,Product_87371,Electronics,88.98
54019,Product_54019,Electronics,304.51
74284,Product_74284,Clothing,111.76
81700,Product_81700,Home,359.78
19302,Product_19302,Toys,61.86
2415,Product_2415,Toys,103.5
69101,Product_69101,Home,17.03
42353,Product_42353,Home,101.56
20892,Product_20892,Sports,407.38
43501,Product_43501,Clothing,387.18
84659,Product_84659,Toys,36.28
84509,Product_84509,Electronics,150.43
17784,Product_17784,Electronics,99.72
70672,Product_70672,Books,449.19
74905,Product_74905,Home,437.81
52575,Product_52575,Home,346.16
39210,Product_39210,Books,179.8
62829,Product_62829,Electronics,3.5
55204,Product_55204,Clothing,51.91
6141,Product_6141,Sports,315.53
90333,Product_90333,Books,38.35
63679,Product_63679,Books,399.27
32020,Product_32020,Sports,88.47
37049,Product_37049,Home,163.46
99462,Product_99462,Toys,207.12
4207,Product_4207,Books,249.91
40153,Product_40153,Sports,304.97
28457,Product_28457,Sports,167.56
88067,Product_88067,Electronics,21.99
16888,Product_16888,Sports,419.22
60049,Product_60049,Toys,77.31
96790,Product_96790,Books,115.4
20223,Product_20223,Clothing,71.18
11746,Product_11746,Toys,76.26
328,Product_328,Electronics,300.61
63675,Product_63675,Sports,254.77
44841,Product_44841,Toys,28.22
60170,Product_60170,Electronics,316.22
90776,Product_90776,Home,338.88
24802,Product_24802,Home,97.98
27746,Product_27746,Electronics,426.99
29699,Product_29699,Electronics,214.97
36762,Product_36762,Sports,292.97
14851,Product_14851,Electronics,162.04
48362,Product_48362,Electronics,17.65
17262,Product_17262,Sports,5.79
23166,Product_23166,Toys,240.19
39365,Product_39365,Clothing,218.8
82308,Product_82308,Toys,256.04
2845,Product_2845,Books,100.24
92780,Product_92780,Clothing,42.59
20721,Product_20721,Books,350.83
77359,Product_77359,Home,77.22
99977,Product_99977,Sports,155.66
